Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,24.090000,24.190001,23.980000,24.090000,13.480754,125000
2018-06-27,24.160000,24.247000,23.809999,23.809999,13.324064,142700
2018-06-28,23.860001,24.061001,23.750000,24.000000,13.430385,129000
2018-06-29,24.000000,24.190001,24.000000,24.040001,13.452771,78800
2018-07-02,24.000000,24.200001,23.870001,24.200001,13.542307,132100
2018-07-03,24.150000,24.270000,23.978001,24.000000,13.430385,103500
2018-07-05,24.180000,24.200001,24.000000,24.200001,13.542307,115100
2018-07-06,24.200001,24.520000,24.160000,24.500000,13.710185,66200
2018-07-09,24.590000,24.639999,24.530001,24.639999,13.788528,130200
2018-07-10,24.719999,24.719999,24.573999,24.670000,13.805319,90500
2018-07-11,24.629999,24.650000,24.570000,24.629999,13.782938,120400
2018-07-12,24.719999,24.790001,24.660000,24.790001,13.872474,128000
2018-07-13,24.820000,24.820000,24.694000,24.790001,13.872474,87900
2018-07-16,24.850000,24.850000,24.750000,24.820000,13.889257,154300
2018-07-17,24.770000,24.840000,24.735001,24.840000,13.900453,109400
2018-07-18,24.879999,24.879999,24.760000,24.799999,13.878069,149900
2018-07-19,24.910000,24.980000,24.745001,24.840000,13.900453,123600
2018-07-20,24.900000,24.969999,24.780001,24.840000,13.900453,111700
2018-07-23,24.889999,24.969999,24.780001,24.959999,13.967604,87100
2018-07-24,25.000000,25.129000,24.950001,25.000000,13.989985,142700
2018-07-25,24.940001,25.000000,24.809999,24.980000,14.080738,134600
2018-07-26,24.969999,24.969999,24.709999,24.780001,13.968003,266100
2018-07-27,24.850000,24.930000,24.510000,24.620001,13.877814,89800
2018-07-30,24.660000,24.660000,24.240999,24.360001,13.731257,170000
2018-07-31,24.490000,24.607000,24.280001,24.530001,13.827082,104800
2018-08-01,24.530001,24.670000,24.530001,24.622000,13.878945,104200
2018-08-02,24.580000,24.900000,24.475000,24.900000,14.035647,109400
2018-08-03,24.990000,24.990000,24.774000,24.895000,14.032830,110700
2018-08-06,24.990000,25.070000,24.910000,25.049999,14.120200,115900
2018-08-07,25.100000,25.120001,25.000000,25.100000,14.148382,146300
2018-08-08,25.129999,25.160000,25.049999,25.120001,14.159658,82300
2018-08-09,25.150000,25.170000,25.000000,25.110001,14.154020,130000
2018-08-10,25.000000,25.230000,25.000000,25.059999,14.125827,111500
2018-08-13,25.110001,25.150000,25.000000,25.040001,14.114561,75500
2018-08-14,25.200001,25.200001,25.040001,25.160000,14.182208,96200
2018-08-15,25.110001,25.110001,24.886999,25.030001,14.108926,129300
2018-08-16,25.240000,25.240000,25.052000,25.100000,14.148382,136400
2018-08-17,25.170000,25.170000,24.900000,25.100000,14.148382,90400
2018-08-20,25.160000,25.160000,25.000000,25.139999,14.170928,186100
2018-08-21,25.260000,25.260000,25.075001,25.139999,14.170928,198200
2018-08-22,24.920000,24.980000,24.860001,24.950001,14.191407,110200
2018-08-23,24.950001,25.160000,24.924999,24.969999,14.202780,146200
2018-08-24,24.990000,25.059999,24.980000,25.059999,14.253964,178700
2018-08-27,25.160000,25.160000,25.059999,25.100000,14.276724,110100
2018-08-28,25.200001,25.209999,25.000999,25.129999,14.293789,157200
2018-08-29,25.160000,25.180000,25.080000,25.170000,14.316538,345500
2018-08-30,25.129999,25.170000,25.106001,25.139999,14.299476,101400
2018-08-31,25.139999,25.170000,25.070000,25.150000,14.305164,133000
2018-09-04,25.180000,25.190001,25.080000,25.160000,14.310857,574200
2018-09-05,25.160000,25.160000,25.020000,25.080000,14.265347,170400
2018-09-06,25.000000,25.080000,24.940001,25.020000,14.231224,214100
2018-09-07,25.010000,25.080000,24.920000,25.010000,14.225530,137000
2018-09-10,25.100000,25.110001,24.980000,25.070000,14.259663,225700
2018-09-11,25.070000,25.170000,25.000000,25.170000,14.316538,159800
2018-09-12,25.190001,25.190001,25.025000,25.170000,14.316538,122300
2018-09-13,25.219999,25.240000,25.150000,25.200001,14.333605,131200
2018-09-14,25.250000,25.260000,25.200001,25.240000,14.356358,249900
2018-09-17,25.250000,25.250000,25.150000,25.209999,14.339291,373700
2018-09-18,25.260000,25.260000,25.190001,25.250000,14.362044,116300
2018-09-19,25.260000,25.270000,25.209999,25.230000,14.350664,181200
2018-09-20,25.260000,25.299999,25.200001,25.270000,14.373414,163700
2018-09-21,25.330000,25.330000,25.049999,25.150000,14.305164,210400
2018-09-24,25.150000,25.219999,25.018000,25.219999,14.344975,158600
2018-09-25,25.260000,25.260000,25.150000,25.240000,14.356358,117900
2018-09-26,25.090000,25.170000,25.010000,25.049999,14.362663,208800
2018-09-27,25.049999,25.200001,25.049999,25.160000,14.425735,130800
2018-09-28,25.120001,25.180000,25.100000,25.129999,14.408527,108400
2018-10-01,25.190001,25.250000,25.150000,25.200001,14.448667,187400
2018-10-02,25.200001,25.240000,25.157000,25.190001,14.442932,135000
2018-10-03,25.250000,25.280001,25.190001,25.230000,14.465866,253300
2018-10-04,25.250000,25.250000,24.850000,24.969999,14.316792,254900
2018-10-05,25.000000,25.000000,24.500000,24.760000,14.196384,208600
2018-10-08,24.760000,24.820000,24.400000,24.680000,14.150517,129600
2018-10-09,24.660000,24.870001,24.582001,24.750000,14.190651,98500
2018-10-10,24.719999,24.719999,23.760000,23.889999,13.697563,486100
2018-10-11,23.799999,23.950001,23.190001,23.424999,13.430956,375500
2018-10-12,23.940001,24.150000,23.610001,24.129999,13.835166,175300
2018-10-15,24.049999,24.049999,23.701000,23.809999,13.651694,73800
2018-10-16,24.000000,24.549999,23.990999,24.530001,14.064513,178200
2018-10-17,24.629999,24.629999,24.250000,24.490000,14.041583,156100
2018-10-18,24.420000,24.420000,23.850000,23.980000,13.749168,109600
